,Find,Gender,Age,Name,MissingDay,Location,Description,IMG
19,이탈리언 그레이하운드 , 암컷 , 6살 , 이름(세모),2022-09-01,충청남도 아산시 아산 은행나무길 / 삽교회전교차로,얼룩무늬 그레이하운드과 휘펫 노락색옷입고있습니다 사슴같이 말랐습니다,http://www.angel.or.kr/report/dog/upImg/1663133960_1103541810.jpg
20,말티즈 , 암컷 , 6살 , 이름(줄리),2022-09-13,경기도 안산시 상록구 본오동878-10 감골닭계장근처,코끝이 연하고 한쪽눈꺼플이 핑크색입니다.,http://www.angel.or.kr/report/dog/upImg/1663110822_2015315436.jpg
21,진돗개 , 암컷 , 10살 , 이름(순심이),2022-09-13,제주특별자치도 서귀포시 서귀포시 토평동 약촌삼계탕 근처,일반 진돗개보다 살짝 작고 꼬리랑 귀 끝이 갈색임,http://www.angel.or.kr/report/dog/upImg/1663107717_764176517.jpg
22,믹스견(믹스견) , 수컷 , 5살 , 이름(유자),2022-09-11,"경기도 고양시 일산동구 하늘마을 112동 3,4라인",믹스견이구요 4살 살색+크림색입니다 정말소심함,http://www.angel.or.kr/report/dog/upImg/1663074505_444280098.jpg
23,요크셔테리어 혼종) , 암컷 , 2살 , 이름(달콩이),2022-09-12,대구광역시 달성군 세천리 1600번지 인근,전체적으로 갈색털이고 배부분은 하얗습니다. 주둥이는 검고 앞쪽 오른발이 하얗습니다.,http://www.angel.or.kr/report/dog/upImg/1663060201_811295203.jpg
24,진돗개 , 암컷 , 1살미만 , 이름(알콩이),2022-09-13,경기도 남양주시 중흥s클래스 2206동 주차장,"겁많음, 성인남자트라우마, 소리예민, 큰움직임 예민",http://www.angel.or.kr/report/dog/upImg/1663050987_90116681.jpg
25,믹스견 , 암컷 , 3살 , 이름(도토리),2022-09-12,"인천광역시 연수구 송도 달빛축제공원, 송도달빛축제공원보조경기장 부근","견종: 믹스견 무게: 10kg 전 후 크기: 웰시코기 정도 특징: 하얀색에 반쯤 접힌 귀,짧은 다리, 겁이 매우 많음, 주황색 목줄 찼음(하네스x 띠 목줄o)",http://www.angel.or.kr/report/dog/upImg/1663045124_1338848563.jpg
26,토이 푸들 , 수컷 , 8살 , 이름(달봉이),2022-09-11,충청남도 당진시 삽교호 공원앞 주차장,턱에 흰 수염이 있음 중성화 함 칩 있음 걸을때 왼쪽다리를 가끔씩 쩔뚝거림 모히칸으로 미용한 상태임,http://www.angel.or.kr/report/dog/upImg/1663038017_127243026.jpg
27,진돗개 , 수컷 , 10살 , 이름(진돌이),2022-09-11,전라북도 완주군 율소리마을 부근,"ㆍ전체흰색,귀만 갈색,중성화 안함 ㆍ몸무게 12키로,몸길이 90센티 ㆍ목줄없고 진드기방지용 목걸이했음(갈색) ㆍ사람에 대한 경계가 심하고 매우 민첩함",http://www.angel.or.kr/report/dog/upImg/1662968277_1515421304.jpg
28,믹스견(진도 믹스 아이보리색상) , 수컷 , 5살 , 이름(까불이),2022-09-10,경기도 고양시 일산동구 성석동 빅토리아 골프연습장 인근,몸 길이 80cm 중성화 안됨 심장사상충 약 복용으로 입과 코 주변이 하얀색임 목줄도 풀고 나간 상태임,http://www.angel.or.kr/report/dog/upImg/1662919927_51890540.jpg
29,시바 , 수컷 , 1살 , 이름(고철이),2022-09-11,충청남도 아산시 아산시 실옥동 인근,시바견처럼 생김 진돗개 유사함 누렁이색,http://www.angel.or.kr/report/dog/upImg/1662884509_1259953739.jpg
30,기타견종 , 수컷 , 4살 , 이름(인절미),2022-07-28,경상북도 김천시 개령 장로교회 부근,사람을 보면 엄청 좋아함,http://www.angel.or.kr/report/dog/upImg/1662830371_364681624.jpg
31,토이 푸들 , 암컷 , 1살미만 , 이름(감자),2022-09-10,전라남도 목포시 목포 평화광장,청치마 입었구요 작습니다 사람을 되게 좋아해요,http://www.angel.or.kr/report/dog/upImg/1662818201_1397905485.jpg
32,믹스견(푸들+닥스) , 수컷 , 5살 , 이름(반이),2022-09-09,서울특별시 강남구 대치4동 노인대학,전체가 갈색이나 목에 흰털이 있습니다 / 중성화 했습니다/ 목줄 없는 상태이며 순하고 사람을 잘 따릅니다,http://www.angel.or.kr/report/dog/upImg/1662813867_1810033911.jpg
33,기타견종(믹스) , 암컷 , 11살 , 이름(점순이),2022-09-09,경기도 양주시 천보산 등산로 인근,검은색 흰색 털이 섞여있습니다.,http://www.angel.or.kr/report/dog/upImg/1662805849_2114105746.jpg
34,믹스견(시골잡종 진도 스피치 믹스느낌) , 암컷 , 2살 , 이름(샬롬),2022-09-10,인천광역시 부평구 부평구 갈산동 갈산주공아파트 부근,온순하고 겁이많음 사람 손 잘 안탐 달리기가 빠름,http://www.angel.or.kr/report/dog/upImg/1662783469_13544845.jpg
35,미니어쳐 핀셔 , 암컷 , 15살 , 이름(미나),2022-09-09,서울특별시 영등포구 도림동 고추말 어린이 공원 앞,녹색 목줄,http://www.angel.or.kr/report/dog/upImg/1662780084_1410639323.jpg
36,셔틀랜드 쉽독 , 암컷 , 3살 , 이름(이슬),2022-09-10,경기도 구리시 갈매동 별내동,8키로 셀티 로 한쪽눈 오드아이 달리기가 빠르고 낯가림이 있음 교육이 잘 되어 있음,http://www.angel.or.kr/report/dog/upImg/1662780016_1840391330.jpg
37,풍산개 , 수컷 , 1살미만 , 이름(복이),2022-08-20,전라남도 완도군 신지면 월양리 마을회관 버스정류장 근처 정자,흰색의 9개월짜리 성견으로서 귀는 쫑긋하고 코는 검은색임.,http://www.angel.or.kr/report/dog/upImg/1662719356_1859055202.jpg
38,시베리안 허스키 , 수컷 , 1살미만 , 이름(봉칠이),2022-09-09,경상북도 경주시 광명동 150번지,"흰색털과 갈색 털이 섞어 있습니다, 사람을 좋아해서 물기도 합니다",http://www.angel.or.kr/report/dog/upImg/1662700840_1463447489.jpg
39,말티즈 , 암컷 , 10살 , 이름(예삐),2022-09-08,서울특별시 노원구 주공 11단지,"하얀색,2kg,새끼처럼 보임,온순함",
40,스텐다드 푸들 , 수컷 , 1살미만 , 이름(보니),2021-09-08,경기도 수원시 영통구 매탄동 한국2차아파트 부근,털을 깍았고 귀와 꼬리 끝부분만 안깍았음,
41,제퍼니즈 스피츠 , 암컷 , 15살 , 이름(모찌),2022-09-07,인천광역시 서구 인천서구 왕길동 64-257번지 한테스트 회사. 공장단지,사람을 좋아하고 웃는 상입니다. 먹는걸 좋아합니다.,http://www.angel.or.kr/report/dog/upImg/1662596004_216312743.jpg
42,믹스견 , 수컷 , 4살 , 이름(망치),2022-09-01,충청북도 제천시 제천시 봉양읍 구곡리,사람을 좋아하고 순해요 혀에 검은 점이 있어요,http://www.angel.or.kr/report/dog/upImg/1662546163_348811176.jpg
43,비숑 프리제 , 암컷 , 7살 , 이름(재재),2022-09-05,경상북도 영덕군 영해면 성내2동 힐링타운 근처,엉덩이에 큰 점이 있고 몸에도 점이 많아요 집에서 미용을 하고 입과 발이 빨갛습니다. 사람을 좋아해서 째째라고 부르면 오고 강아지도 좋아해요,http://www.angel.or.kr/report/dog/upImg/1662530240_842126749.jpg
44,말티즈 , 수컷 , 1살 , 이름(꼼이),2022-08-20,서울특별시 용산구 사설보호소,"흰색 털 , 중성화 완료 ,유루증 있음 , 활발하고 사람을 좋아함 , 분리불안 있음 , 낑낑거림 심함",http://www.angel.or.kr/report/dog/upImg/1662512509_326461113.jpg
45,믹스견(스피치 믹스) , 암컷 , 4살 , 이름(뿌뿌),2022-09-06,경기도 안성시 안성시 신건지동 부근,눈망울이 동그랗고 온순하며 정면에서 볼때 입꼬리가 내려가 있고 눈치를 많이 보는 성격 최근 미용을 시켜서 털이 잘 정돈된 상태이며 털은 중간중간 누런끼가 남아있음,http://www.angel.or.kr/report/dog/upImg/1662481953_1274635204.jpg
46,비숑 프리제 , 암컷 , 3살 , 이름(핑크),2022-09-06,전라남도 순천시 덕암동 일방통행길,사람을 잘따라요 전체 미용,http://www.angel.or.kr/report/dog/upImg/1662468751_895777202.jpg
47,기타견종 , 암컷 , 1살 , 이름(뚜이),2022-08-28,전라남도 순천시 용두 두고리 토마토 하우스 앞,코가 검은색 다리가 길고 인중이 넓다,http://www.angel.or.kr/report/dog/upImg/1662352035_615417769.jpg
48,믹스견(말티즈+시츄) , 암컷 , 9살 , 이름(코코),2022-09-02,경기도 수원시 팔달구 수원월드메르디앙- 수원월드컵 경기장,속눈썹이 엄청 길어요,http://www.angel.or.kr/report/dog/upImg/1662265543_1244353871.jpg
49,치와와 , 수컷 , 4살 , 이름(샘),2022-09-02,대구광역시 달성군 대구 달성군 가창면 가창로108길 63-2 근처,-라이언컷을 하고 2~3개월 지나 털이 사진보다 자람 -목소리가 까랑까랑 한편,http://www.angel.or.kr/report/dog/upImg/1662201655_1378266678.jpg
50,진돗개 , 수컷 , 3살 , 이름(호야),2022-09-02,경기도 구리시 수도권순환고속도로 상 불암산 톨게이트 지나 구리방면으로 1.5킬로 지점 퇴계원IC,진돗개 호구(호피무늬)로 갈색 줄무늬와 황색 줄무늬가 섞여있음. 이마에 왕자 무늬. 실종다시 핑크색 하네스 착용,http://www.angel.or.kr/report/dog/upImg/1662180929_90138140.jpg
51,진돗개 , 암컷 , 3살 , 이름(미니),2022-09-02,서울특별시 강서구 우장산공원터널부근,베이지색깔 반접힌귀 앞다리 반 흰색 꼬리 끝 흰색,http://www.angel.or.kr/report/dog/upImg/1662160930_210393226.jpg
52,기타견종(보더콜리 진도견 믹스) , 암컷 , 5살 , 이름(콜리),2022-09-02,충청북도 진천군 진천읍 신정리 문화3길 천호빌라 103동307호,겁이 많다 사람 경계많이함 크기는 중형견,http://www.angel.or.kr/report/dog/upImg/1662129968_42514950.jpg
53,믹스견(비글 요크셔 혼종) , 수컷 , 6살 , 이름(은솔),2022-09-01,서울특별시 강서구 허준 박물관 인근,크림빛누렁이주둥이 검정/늘씬하고 길죽한 몸/겁이많아경계심이많음/최근미용빡빡이/독특한하울링/수컷 중성화/삑삑이 인형소리 좋아함,http://www.angel.or.kr/report/dog/upImg/1662061766_843913228.jpg
54,기타견종 , 수컷 , 1살미만 , 이름(다산이),2022-08-31,울산광역시 남구 달동 일자리센터뒤,갈색이고 다리가 짧은 3개월된 강아지 입니다.,http://www.angel.or.kr/report/dog/upImg/1661996813_109944930.jpg
55,말티즈 , 수컷 , 13살 , 이름(다롱이),2021-08-31,서울특별시 성북구 길음동 래미안 아파트 5단지,믹스견이고 7키로 정도라 크기가 큽니다. 허리가 길고 털이 곱슬이나 털이 아직 엄청 많이 자라진 않았습니다. 실종 당시 왼쪽 귀에 염증이 있어서 치료 중이었습니다,http://www.angel.or.kr/report/dog/upImg/1661992362_652409154.jpg
56,진돗개 , 수컷 , 5살 , 이름(밤톨),2022-08-30,경기도 양주시 경기 양주시 마전동 261,"호구 무늬, 흰 앞발, 동물칩 등록X, 가까이 가면 경계함",http://www.angel.or.kr/report/dog/upImg/1661867637_1356740641.jpg
57,골든 리트리버 , 암컷 , 1살미만 , 이름(메이),2022-08-27,경기도 고양시 덕양구 원당중학교 부근,크림색 골든 리트리버입니다. 털갈이 아직 안끝난 7개월 아이입니다. 실종시 목줄 안하고있었습니다. 내장칩 되어있습니다. 사람 좋아하고 잘 안짖습니다.,http://www.angel.or.kr/report/dog/upImg/1661832629_710066467.jpg
58,믹스견 , 수컷 , 10살 , 이름(까미),2022-08-15,경기도 양주시 장흥 돌고개입구,오른쪽 귀 쳐짐/ 가슴에 ㅠ자 모양으로 흰털무늬 나있음,http://www.angel.or.kr/report/dog/upImg/1661744297_189222098.jpg
59,믹스견(미니핀믹스) , 수컷 , 1살 , 이름(다람이),2022-08-27,전라북도 전주시 완산구 노송동 아중리 한옥마을,단미단이해서 귀는 쫑긋하고 꼬리가 짧음,http://www.angel.or.kr/report/dog/upImg/1661711206_429546361.jpg
60,기타견종 , 암컷 , 3살 , 이름(백억),2022-08-25,"충청남도 천안시 동남구 음파유치원,천안예술의전당,독립기념관,목천ic",빨간 목줄달고 있고 중형견입니다 공을 되게 좋아하고요 눈동자가 연한 갈색입니다 귀와 귀사이에 털이 연한 갈색이고 꼬리도 연한갈색입니다,http://www.angel.or.kr/report/dog/upImg/1661700017_1839011005.jpg
61,말티즈 , 암컷 , 14살 , 이름(다비),2022-08-28,경기도 고양시 일산서구 후곡6단지 집앞,노견이라 피부병이 있고 지방종이 있슴,
62,믹스견(까만색 슈나우져믹스) , 암컷 , 6살 , 이름(엣지),2022-08-28,경상남도 김해시 김해여자중학교 근처 자가,중성화한 암컷이고 겁이 많아서 많이 짖습니다,http://www.angel.or.kr/report/dog/upImg/1661665535_1389781961.jpg
63,시바 , 암컷 , 3살 , 이름(누리),2022-08-26,대전광역시 서구 둔산동 은하수아파트 부근,"- 목줄은 핑크색, 리드줄은 검은색을 매단 채로 유실됨. - 오른쪽 뒷발등에 눌린 상처. - 겁이 아주 많으니, 만지지 말고 이름을 불러주세요!",http://www.angel.or.kr/report/dog/upImg/1661582611_513588282.jpg
64,믹스견(진도믹스) , 암컷 , 5살 , 이름(럭키),2022-08-26,충청북도 청주시 흥덕구 봉명동 K마트 근처,언뜻 리트리버 럭키야~ 부르면 쳐다봄 꼬리풍성 ㅣ 코 연한갈색 ㅣ 긴 주둥이 시니컬 ㅣ 예쁨,http://www.angel.or.kr/report/dog/upImg/1661520641_1326710324.jpg
65,진돗개 , 암컷 , 1살미만 , 이름(마음),2022-08-25,경기도 화성시 봉담 와우리 수원대 인근 해피트리아파트앞,귀와 꼬리 인절미같은 크리미색 등쪽도 약간 크리미한 백구 실내견이라 깨끗하고 잘생김 풍성한 꼬리 진돗개 순종임,http://www.angel.or.kr/report/dog/upImg/1661494350_1252104510.jpg
66,셔틀랜드 쉽독 , 수컷 , 6살 , 이름(지니),2022-08-24,전라남도 고흥군 두원면 용반리 벧엘수양관 부근,소심하고 겁이 많아요.인식칩 목걸이 착용. 노랑색 오리발모양 펜던트 착용.전화번호 기재돼있어요.,http://www.angel.or.kr/report/dog/upImg/1661832491_923487898.jpg
67,믹스견 , 암컷 , 1살미만 , 이름(막시맹),2021-08-21,경기도 파주시 탄현면 정승로 113 (군부대 앞),"전체적으로 흰색이나 등, 귀가 아이보리빛깔입니다. 왼쪽 눈 위에 눈썹처럼 흉터가 있습니다. 카키색 목줄을 하고 있습니다. 사람을 잘 따르고 움직이는 물체를 보면 미친듯이 쫓아다닙니다. 앉아, 손 훈련이 되어있습니다. 막시맹이라 부르면 반응 안하고 시맹이라고 불러야 반응합니다.",http://www.angel.or.kr/report/dog/upImg/1661480344_1610840318.jpg
68,포메라니언 , 암컷 , 4살 , 이름(오구),2022-08-24,인천광역시 서구 인천시 서구 이음5로 39 우미린더시그니처 아파트 지하1층 연못가 부근,클리퍼증후군을 앓고있어 탈모가 전체적으로 심해 털이 없음 빨간 체크무늬 원피스 입고있음 귀가 뾰족하게 서있어 토끼같이 생김 낯선 남자를 매우 경계하고 무서워함 아이들 또는 강아지를보면 짖음,http://www.angel.or.kr/report/dog/upImg/1661384467_1626671947.jpg
69,기타견종 , 수컷 , 1살미만 , 이름(레오),2022-08-23,경기도 여주시 흥천면 금반향 숯불갈비 근처 / 송말천 현방교 근처,"흰색 검은색 털, 얼룩무늬, 사람 잘 따름, 호기심 많고 겁도 많음, 형광 노랑색 목줄 착용, 중성화 완료",http://www.angel.or.kr/report/dog/upImg/1661322006_667149507.jpg
70,믹스견 , 암컷 , 8살 , 이름(순덕이),2022-08-23,경기도 화성시 마도면 금당리44,누렁이고 진도 믹스견 덩치가크고 지금털갈이중이라 털이띠엄띠엄 지져분 함,http://www.angel.or.kr/report/dog/upImg/1661268651_1570984414.jpg
71,골든 리트리버 , 암컷 , 7살 , 이름(멍돌이),2022-08-23,제주특별자치도 제주시 한림읍 명월리부근,머리중앙에 혹처럼 튀어나온부분이 있음. 사람을 잘따름. 실종당시 목줄착용안했음.,
72,웰시 코기 펨브로크 , 수컷 , 15살 , 이름(복자),2020-04-17,경기도 여주시 은아목장 주변,털이 전체적으로 곱슬거림 뒤통수에 세로로 된 점박이 있음 꼬리가 없음 (단미),http://www.angel.or.kr/report/dog/upImg/1661234126_1858370976.jpg
73,믹스견 , 수컷 , 10살 , 이름(까미),2022-08-15,경기도 양주시 장흥 돌고개입구,오른쪽 귀 쳐짐/ 가슴에 ㅠ자 모양으로 흰털무늬 나있음,http://www.angel.or.kr/report/dog/upImg/1661209212_1834696229.jpg
74,기타견종(그레이트피레니즈) , 수컷 , 1살 , 이름(조이),2022-08-20,경기도 양주시 회암동 옥정숲속어린이집 근처,하얀색 털갈이 중으로 모종이 풍성하지 않습니다. 몸무게 50kg 이상이고 내장인식칩이 있고 이름표나 목걸이는 없습니다. 순하고 사람을 좋아합니다.,http://www.angel.or.kr/report/dog/upImg/1661209998_595405618.jpg
75,믹스견 , 암컷 , 14살 , 이름(땡칠이),2022-08-14,경상북도 의성군 원당2길,코에 색이 빠져있고 걸음걸이가 느린 편,http://www.angel.or.kr/report/dog/upImg/1661184188_839834705.jpg
76,제퍼니즈 스피츠 , 암컷 , 13살 , 이름(뽀야),2022-08-19,전라남도 목포시 비파2단지,겁이 많아서 사람을 무서워하고 왼쪽 눈 밑에 뭐가 나있어요.,http://www.angel.or.kr/report/dog/upImg/1661180462_2131104035.jpg
77,말티즈 , 암컷 , 12살 , 이름(초롱),2022-08-21,전라북도 무주군 설천면 문암마을 문암길 109번지 부근에서 실종,뒷다리 하나를 들고 뛰는 버릇이 있음 왼쪽 겨드랑이에 동그란 덩어리가 만져지는 것이 있음 귀를 지긋이 누르며 쓰다듬을 때 간지러워함 한쪽 입술이 살이 두툼하게 부어있고 만지면 피하려고 함 노견이지만 체구가 작아 어린 강아지처럼 보이기도 함 노견이라 피부에 점이 많음 뒷다리만 앉았을 때 앞발이 대각선 바깥쪽으로 위치하는 자세(사진 참고) 코주둥이 길이가 너무 짧지도 길지도 않게 적당히 예쁜길이ㅠㅠ(마지막 사진 참고),http://www.angel.or.kr/report/dog/upImg/1661676699_2028996411.jpg
78,제퍼니즈 스피츠 , 수컷 , 7살 , 이름(망고),2022-08-22,대구광역시 중구 남산역부근 남산동극동스타클래스 부근,눈물자국있고 22년 8월 10일에 미용해서 잃어버릴 당시 털이 짧은편 낯선 사람도 잘 따르는편이고 에너지 넘치는 활발한 성격 중성화 되어 있는 수컷이고 전체 흰색인데 귀부분 자세히 보면 노르스름함,http://www.angel.or.kr/report/dog/upImg/1661145382_1689398709.jpg
79,비글 , 수컷 , 6살 , 이름(토토),2022-08-17,인천광역시 서구 인천광역시 서구 공촌동 공촌천 근처,비글 수컷 6살 중성화 안했어요,http://www.angel.or.kr/report/dog/upImg/1661128426_1399035316.jpg
80,진돗개 , 암컷 , 1살미만 , 이름(럭키),2022-08-21,충청남도 아산시 아산 테크노밸리,왼쪽 얼굴에 점이 있음 귀가 세워져 있음(세모 모양) 살짝 인절미 색이 있음,http://www.angel.or.kr/report/dog/upImg/1661083426_1920273375.jpg
81,포메라니언 , 수컷 , 3살 , 이름(덕배),2022-08-11,경기도 화성시 화성시 양감면 요당리 부근,중성화수술을 하지 않았고 밖에서 키우던 개라 더럽습니다. 배에 점이 있습니다. 경계가 심하고 물수 있습니다.,http://www.angel.or.kr/report/dog/upImg/1661046971_780888342.jpg
82,말티즈 , 수컷 , 9살 , 이름(상추),2022-08-20,경기도 군포시 두현사우나근처,없음,http://www.angel.or.kr/report/dog/upImg/1660944282_949695342.jpg
83,말티즈 , 수컷 , 16살 , 이름(똘이),2022-08-20,서울특별시 은평구 녹번동 주택가,전체적으로 흰색털에 연갈색 털이 섞여있습니다 사람을 좋아해서 부르면 따라옵니다 허리가 긴 편입니다,http://www.angel.or.kr/report/dog/upImg/1660935586_1242712009.jpg
84,포메라니언 , 수컷 , 1살미만 , 이름(밀크),2022-08-19,부산광역시 남구 남구 감만2동 국제아파트쪽,사람을 좋아해요! 털에 아이보리빛이 띄어요! 털은 자르지않았고 귀 뒷쪽 털이 뭉쳐있어요.,
85,시 츄 , 수컷 , 13살 , 이름(초코),2022-08-18,광주광역시 서구 내방동과 화정1동 사이 골목길,노견인 아이라 눈과 귀가 잘 안들림 엄청 소심하나 애교많고 사람 좋아함 통통한 체격에 갈색과 흰색 시츄 눈밑에 검정 사마귀가 있음,http://www.angel.or.kr/report/dog/upImg/1660836466_301830076.jpg
86,말티즈 , 수컷 , 19살 , 이름(구름이),2022-08-16,충청남도 태안군 태안군 안면읍 응지마을길 1 식단(친구네),깔끔하게 미용된 상태 눈주위가 조금 붉으스럼,http://www.angel.or.kr/report/dog/upImg/1660729870_1799104165.jpg
87,기타견종 , 수컷 , 3살 , 이름(태양),2022-08-14,충청남도 논산시 지산동,흰검 얼룩이 집에서 미용 검정 목줄 착용 칩 내장,http://www.angel.or.kr/report/dog/upImg/1660707527_1329800399.jpg
88,믹스견 , 수컷 , 10살 , 이름(송이),2022-08-14,충청북도 제천시 남제천ic부근 금성면 양월로166,"온순하나 할머니,아이,유모차,오토바이등을 보면 짖거나 덤빔",http://www.angel.or.kr/report/dog/upImg/1660707267_787815146.jpg
